,Dataset,Model/Combination,Train RMSE,Test RMSE
0,PCA Data,KNN Regressor,0.0,2.5120147203402183
1,PCA Data,GaussianProcess Regressor,0.03599679273702347,2.347095057415091
2,PCA Data,Ridge Regressor,3.4463423080920106,2.768885673846152
3,PCA Data,Kernel Ridge,3.4463423080920106,2.768885673846152
4,PCA Data,"Combination 1 (w_r=0.312, w_knr=0.138, w_g=0.000, w_kr=0.000)",3.2474919414726733,2.74772154158592
5,PCA Data,"Combination 2 (w_r=0.312, w_knr=0.000, w_g=0.238, w_kr=0.000)",2.847686267054533,2.6597714865989035
6,PCA Data,"Combination 3 (w_r=0.000, w_knr=0.138, w_g=0.238, w_kr=0.000)",2.5825434703838805,2.7208216519007995
7,PCA Data,"Combination 4 (w_r=0.312, w_knr=0.138, w_g=0.238, w_kr=0.000)",2.290122398176718,2.536879106855976
8,PCA Data,"Combination 5 (w_r=0.312, w_knr=0.000, w_g=0.000, w_kr=0.312)",3.581096900786451,2.7625119435099195
9,PCA Data,"Combination 6 (w_r=0.000, w_knr=0.138, w_g=0.000, w_kr=0.312)",3.2474919414726733,2.74772154158592
10,PCA Data,"Combination 7 (w_r=0.000, w_knr=0.000, w_g=0.238, w_kr=0.312)",2.847686267054533,2.6597714865989035
11,PCA Data,"Combination 8 (w_r=0.312, w_knr=0.138, w_g=0.000, w_kr=0.312)",3.0416970643567875,2.6335084460605835
12,PCA Data,"Combination 9 (w_r=0.312, w_knr=0.000, w_g=0.238, w_kr=0.312)",2.6661385847751484,2.582919225865609
13,PCA Data,"Combination 10 (w_r=0.000, w_knr=0.138, w_g=0.238, w_kr=0.312)",2.290122398176718,2.536879106855976
14,PCA Data,"Combination 11 (w_r=0.312, w_knr=0.138, w_g=0.238, w_kr=0.312)",2.156573039438723,2.497070523898826
15,Original Data,KNN Regressor,0.0,1.6794169094944777
16,Original Data,GaussianProcess Regressor,0.03186527191952103,1.328713061831121
17,Original Data,Ridge Regressor,3.020202603777767,2.140471018894629
18,Original Data,Kernel Ridge,3.020202603777767,2.140471018894629
19,Original Data,"Combination 1 (w_r=0.295, w_knr=0.233, w_g=0.000, w_kr=0.000)",2.7216981084333716,2.246454041446182
20,Original Data,"Combination 2 (w_r=0.295, w_knr=0.000, w_g=0.177, w_kr=0.000)",2.954014435717904,2.2634750014550056
21,Original Data,"Combination 3 (w_r=0.000, w_knr=0.233, w_g=0.177, w_kr=0.000)",2.44253043564858,2.2913854277022447
22,Original Data,"Combination 4 (w_r=0.295, w_knr=0.233, w_g=0.177, w_kr=0.000)",2.014750434171767,1.8756990055111504
23,Original Data,"Combination 5 (w_r=0.295, w_knr=0.000, w_g=0.000, w_kr=0.295)",3.305432762960971,2.3182774211764676
24,Original Data,"Combination 6 (w_r=0.000, w_knr=0.233, w_g=0.000, w_kr=0.295)",2.7216981084333716,2.246454041446182
25,Original Data,"Combination 7 (w_r=0.000, w_knr=0.000, w_g=0.177, w_kr=0.295)",2.954014435717904,2.2634750014550056
26,Original Data,"Combination 8 (w_r=0.295, w_knr=0.233, w_g=0.000, w_kr=0.295)",2.412373889722072,1.951914157133944
27,Original Data,"Combination 9 (w_r=0.295, w_knr=0.000, w_g=0.177, w_kr=0.295)",2.627754875508714,1.9634896721511077
28,Original Data,"Combination 10 (w_r=0.000, w_knr=0.233, w_g=0.177, w_kr=0.295)",2.014750434171767,1.8756990055111504
29,Original Data,"Combination 11 (w_r=0.295, w_knr=0.233, w_g=0.177, w_kr=0.295)",1.787439040245449,1.6804110746855099
